1, 37372, 53276, 0, 0, 0, 0, 0, 0, 1.418581111648188
1, 0, 0, 0, 0, 37354, 52612, 0, 0, 1.4185787623504067
1, 0, 0, 37354, 52532, 0, 0, 0, 0, 1.4186739316815706
1, 0, 0, 0, 0, 0, 0, 37354, 52694, 1.4186194294625571
8, 0, 0, 46125, 61050, 0, 0, 0, 0, 0.640706193244465
8, 0, 0, 0, 0, 0, 0, 46237, 62036, 0.6407091125397633
8, 45901, 61416, 0, 0, 0, 0, 0, 0, 0.6407088290463367
8, 0, 0, 0, 0, 45901, 61144, 0, 0, 0.6407078604456894
16, 0, 0, 0, 0, 54259, 68642, 0, 0, 0.34621949232666177
16, 54227, 68624, 0, 0, 0, 0, 0, 0, 0.34622513524220094
16, 0, 0, 0, 0, 0, 0, 54259, 68576, 0.3462172365915947
16, 0, 0, 54259, 68674, 0, 0, 0, 0, 0.34622570683664033
32, OOM
