1, 0, 0, 0, 0, 0, 0, 38305, 53360, 1.2804257881417667
1, 0, 0, 0, 0, 37395, 53214, 0, 0, 1.2804200327241053
1, 37390, 52524, 0, 0, 0, 0, 0, 0, 1.280419210525806
1, 0, 0, 37435, 53168, 0, 0, 0, 0, 1.2803709992029972
8, 0, 0, 0, 0, 0, 0, 43651, 61016, 0.6433311460517293
8, 43753, 60456, 0, 0, 0, 0, 0, 0, 0.6433363827000383
8, 0, 0, 0, 0, 43635, 61080, 0, 0, 0.6433267261010808
8, 0, 0, 43529, 61232, 0, 0, 0, 0, 0.6433301661036204
16, 0, 0, 46078, 64094, 0, 0, 0, 0, 0.3558157415479958
16, 46078, 64414, 0, 0, 0, 0, 0, 0, 0.35581603402995937
16, 0, 0, 0, 0, 45886, 64514, 0, 0, 0.3558164285170705
16, 0, 0, 0, 0, 0, 0, 46078, 63428, 0.35581448211158156
32, 0, 0, 49863, 69442, 0, 0, 0, 0, 0.18867419402686272
32, 0, 0, 0, 0, 0, 0, 49671, 70084, 0.18867322180698867
32, 49863, 69786, 0, 0, 0, 0, 0, 0, 0.18867321097858772
32, 0, 0, 0, 0, 49863, 69288, 0, 0, 0.1886744612281198
48, 0, 0, 53584, 73782, 0, 0, 0, 0, 0.12749236232230582
48, 0, 0, 0, 0, 53584, 73784, 0, 0, 0.12749207060434029
48, 0, 0, 0, 0, 0, 0, 53360, 74448, 0.12749185719538697
48, 53584, 74122, 0, 0, 0, 0, 0, 0, 0.12749222080618605
64, 0, 0, 0, 0, 57817, 78240, 0, 0, 0.09643643496644429
64, 0, 0, 57817, 74696, 0, 0, 0, 0, 0.0964363853450612
64, 0, 0, 0, 0, 0, 0, 57369, 75080, 0.0964357431771
64, 57369, 75222, 0, 0, 0, 0, 0, 0, 0.09643492646863591
